pruid,prname,prnameFR,date,numconf,numprob,numdeaths,numtotal,numtested,numrecover,percentrecover,ratetested,numtoday,percentoday,ratetotal,ratedeaths,numdeathstoday,percentdeath,numtestedtoday,numrecoveredtoday,percentactive,numactive,rateactive,numtotal_last14,ratetotal_last14,numdeaths_last14,ratedeaths_last14,numtotal_last7,ratetotal_last7,numdeaths_last7,ratedeaths_last7,avgtotal_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7
59,British Columbia,Colombie-Britannique,2020-03-05,21,0,0.0,21,,,,,9,75.0,0.41,0.0,0.0,0.0,,,100.0,21.0,0.41,,,,,,,,,,,,
24,Quebec,Québec,2020-03-05,2,0,0.0,2,,,,,1,100.0,0.02,0.0,0.0,0.0,,,100.0,2.0,0.02,,,,,,,,,,,,
1,Canada,Canada,2020-03-05,45,0,0.0,45,,,,,12,36.36,0.12,0.0,0.0,0.0,,,100.0,45.0,0.12,,,,,,,,,,,,
35,Ontario,Ontario,2020-03-06,28,0,0.0,28,,,,,6,27.27,0.19,0.0,0.0,0.0,,,100.0,28.0,0.19,,,,,,,,,,,,
59,British Columbia,Colombie-Britannique,2020-03-06,21,0,0.0,21,,,,,0,0.0,0.41,0.0,0.0,0.0,,,100.0,21.0,0.41,,,,,,,,,,,,
24,Quebec,Québec,2020-03-06,2,0,0.0,2,,,,,0,0.0,0.02,0.0,0.0,0.0,,,100.0,2.0,0.02,,,,,,,,,,,,
1,Canada,Canada,2020-03-06,51,0,0.0,51,,,,,6,13.33,0.14,0.0,0.0,0.0,,,100.0,51.0,0.14,,,,,,,,,,,,
35,Ontario,Ontario,2020-03-07,28,0,0.0,28,,,,,0,0.0,0.19,0.0,0.0,0.0,,,100.0,28.0,0.19,,,,,,,,,,,,
59,British Columbia,Colombie-Britannique,2020-03-07,27,0,0.0,27,,,,,6,28.57,0.53,0.0,0.0,0.0,,,100.0,27.0,0.53,,,,,,,,,,,,
24,Quebec,Québec,2020-03-07,2,0,0.0,2,,,,,0,0.0,0.02,0.0,0.0,0.0,,,100.0,2.0,0.02,,,,,,,,,,,,
